row,tree,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,inner_1_pest_mite_eggs,inner_1_predatory_eggs,inner_2_pest_mite_eggs,inner_2_predatory_eggs,inner_3_pest_mite_eggs,inner_3_predatory_eggs,inner_4_pest_mite_eggs,inner_4_predatory_eggs,inner_5_pest_mite_eggs,inner_5_predatory_eggs,outer_1_pest_mite_eggs,outer_1_predatory_eggs,outer_2_pest_mite_eggs,outer_2_predatory_eggs,outer_3_pest_mite_eggs,outer_3_predatory_eggs,outer_4_predatory_eggs,outer_4_pest_mite_eggs,outer_5_pest_mite_eggs,outer_5_predatory_eggs
13,13_15,0,1-5,10+,0,0,1-5,1-5,0,0,1-5,0,0,,1-5,1-5,0,1-5,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,0,1-5,0,10+,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,1-5,1-5,0
13,13_11,1-5,0,0,0,,,,,0,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,,,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0
13,13_50,1-5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,5-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13_65,1-5,0,0,0,1-5,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,0,0,1-5,0,0,0,5-10,0,,0,0,0,0,0,0,0,0,0
16,16_60,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,,0,0,0,1-5,0,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,5-10,0,0,0,0,0,1-5,0
16,16_45,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,10+,0,10+,0,0,0,0,0,0,0,0,0,0,0,1-5,,0,1-5,0,0,0,0
16,16_31,1-5,0,0,0,1-5,1-5,0,0,0,0,5-10,0,0,0,1-5,0,1-5,0,0,0,5-10,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,1-5,0,0,1-5,1-5,0,0,0,0,0,0,0,0,5-10,0,0,0,0,0,5-10,0,5-10,0,0,0,0,0
16,16_15,1-5,0,1-5,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,10+,0,0,0,0,0,0,0
16,16_15,1-5,0,1-5,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,10+,0,0,0,0,0,0,0
16,16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,1-5,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,10+,0,0,0,0,0,0,0
17,17_5,1-5,1-5,0,1-5,1-5,0,1-5,0,1-5,0,1-5,0,5-10,0,,0,10+,0,0,0,5-10,1-5,0,0,5-10,0,1-5,0,10+,0,0,0,5-10,1-5,0,0,1-5,0,1-5,0,0,0,1-5,0,5-10,0,0,0,5-10,0,0,0,10+,0,10+,0,0,5-10,1-5,0
17,17_20,1-5,0,0,1-5,1-5,0,0,1-5,0,0,1-5,1-5,0,0,0,1-5,5-10,0,0,1-5,5-10,1-5,0,0,1-5,0,0,0,1-5,0,0,0,5-10,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,5-10,0,0,0,1-5,1-5,0,0,0,0
17,17_35,0,0,0,1-5,1-5,0,5-10,0,0,0,0,1-5,0,0,1-5,5-10,1-5,0,0,0,5-10,0,1-5,0,1-5,0,0,0,,,,,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,,,1-5,0
17,17_50,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0
17,17_50,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,5-10,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0
19,19_check,0,0,0,0,0,1-5,0,0,0,0,0,0,1-5,1-5,0,0,1-5,0,1-5,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0
19,19_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,1-5,1-5,0,0,5-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,0,0,0,1-5,0,0,1-5,0,0
19,19_4,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-10,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0
19,19_60,1-5,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20_68,0,1-5,0,0,0,0,1-5,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20_60,0,0,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,5-10,0,0,5-10,0,0
20,20_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20_20,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2_2,0,0,1-5,1-5,1-5,0,0,0,0,0,0,0,1-5,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,5-10,0,1-5,1-5,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0
2,2_15,0,0,1-5,0,0,1-5,0,0,1-5,1-5,1-5,,0,0,5-10,0,1-5,0,0,0,1-5,1-5,1-5,0,0,0,1-5,0,1-5,0,1-5,0,0,0,5-10,1-5,1-5,0,0,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,1-5,0,1-5,0,1-5,0,0,1-5,1-5,0
2,2_31,0,0,10+,1-5,0,0,10+,1-5,0,0,10+,1-5,0,0,0,0,1-5,0,1-5,1-5,1-5,0,10+,1-5,0,0,0,0,0,0,10+,0,0,0,0,0,1-5,0,1-5,0,1-5,0,10+,0,10+,0,10+,0,0,0,5-10,0,5-10,0,0,0,0,10+,0,0
2,2_46,0,0,0,0,1-5,1-5,5-10,0,0,1-5,5-10,0,1-5,1-5,5-10,0,0,0,0,0,1-5,0,5-10,0,1-5,0,5-10,0,1-5,0,10+,0,1-5,0,10+,1-5,1-5,1-5,10+,0,5-10,0,0,0,5-10,0,5-10,0,5-10,0,0,0,5-10,0,5-10,0,0,10+,10+,0
2,2_61,1-5,0,5-10,1-5,0,0,10+,0,0,0,10+,0,1-5,0,10+,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,10+,0,0,0,0,0,1-5,0,0,0,10+,0,1-5,1-5,10+,0,10+,0,10+,0,0,0,0,0,1-5,0,0,1-5,0,0
3,3_65,0,0,0,0,1-5,1-5,5-10,0,0,0,0,0,5-10,1-5,0,0,1-5,0,0,0,5-10,0,5-10,0,1-5,0,10+,0,0,0,0,0,0,0,0,0,1-5,1-5,5-10,0,5-10,0,0,0,5-10,0,0,0,5-10,0,1-5,0,5-10,0,5-10,0,0,0,0,0
3,3_50,5-10,5-10,1-5,1-5,1-5,1-5,5-10,0,10+,10+,10+,0,10+,10+,10+,0,10+,0,1-5,0,10+,0,1-5,5-10,5-10,1-5,10+,0,5-10,0,10+,0,10+,0,10+,1-5,5-10,5-10,5-10,0,10+,0,10+,1-5,10+,0,10+,0,10+,1-5,10+,0,10+,0,10+,0,0,10+,10+,1-5
3,3_35,10+,5-10,10+,0,5-10,0,5-10,1-5,1-5,1-5,1-5,0,1-5,1-5,1-5,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,10+,1-5,0,0,10+,0,1-5,0,10+,10+,0,0,10+,0,10+,0,10+,1-5,10+,0,5-10,0,10+,0,10+,0,10+,0,0,10+,10+,0
3,3_20,0,10+,0,0,1-5,1-5,0,0,1-5,1-5,0,0,1-5,1-5,0,1-5,0,1-5,0,0,0,5-10,0,0,1-5,1-5,0,0,0,0,5-10,0,1-5,1-5,5-10,0,0,10+,0,1-5,5-10,0,10+,0,1-5,0,1-5,0,5-10,0,1-5,0,5-10,0,5-10,0,0,5-10,10+,0
3,3_4,1-5,0,0,0,1-5,1-5,0,1-5,1-5,1-5,0,0,1-5,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,0,0,0,1-5,0,1-5,1-5,0,0,1-5,0,1-5,0,5-10,0,1-5,0,1-5,0,0,0,0,0,0,0,0,1-5,1-5,0
6,6_2,0,10+,0,0,0,5-10,0,0,0,5-10,0,1-5,0,1-5,10+,1-5,0,1-5,0,0,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,5-10,10+,0,0,10+,0,1-5,0,5-10,0,5-10,0,10+,0,1-5,0,5-10,0,5-10,0,0,0,0,0
6,6_15,5-10,0,1-5,0,1-5,1-5,1-5,1-5,1-5,1-5,0,1-5,0,1-5,0,1-5,5-10,0,5-10,0,10+,0,0,0,10+,0,1-5,0,10+,0,0,0,10+,0,0,0,1-5,0,0,1-5,10+,0,10+,0,10+,0,5-10,0,5-10,0,10+,0,10+,0,10+,0,0,10+,10+,0
6,6_30,0,0,5-10,1-5,0,0,1-5,0,1-5,0,10+,1-5,0,0,10+,0,10+,0,0,0,10+,0,0,0,1-5,0,0,0,10+,0,0,0,1-5,0,0,1-5,1-5,0,0,0,1-5,0,10+,0,10+,0,10+,0,10+,0,10+,0,10+,0,10+,0,0,10+,10+,0
6,6_45,1-5,0,1-5,1-5,0,0,5-10,0,1-5,0,1-5,1-5,1-5,0,5-10,1-5,10+,0,1-5,0,10+,0,1-5,0,10+,0,10+,0,5-10,0,10+,0,5-10,0,10+,0,5-10,0,5-10,1-5,10+,0,10+,0,10+,0,10+,0,10+,1-5,10+,0,10+,0,10+,0,0,10+,10+,0
6,6_52,10+,0,1-5,1-5,5-10,0,5-10,1-5,10+,0,1-5,1-5,5-10,0,0,1-5,10+,0,0,1-5,10+,0,0,0,10+,0,10+,0,10+,0,10+,0,10+,1-5,10+,0,10+,0,0,0,10+,0,10+,0,10+,0,10+,0,5-10,0,10+,0,10+,0,10+,0,0,10+,10+,0
8,8_49,10+,0,0,1-5,0,0,10+,1-5,5-10,0,5-10,1-5,10+,0,5-10,1-5,10+,0,10+,1-5,10+,0,5-10,0,10+,0,0,0,10+,1-5,0,0,10+,0,0,1-5,1-5,0,0,0,5-10,0,5-10,0,10+,0,10+,0,10+,0,10+,1-5,10+,0,10+,0,0,10+,10+,1-5
8,8_42,10+,0,1-5,1-5,1-5,0,1-5,0,10+,0,1-5,0,5-10,0,1-5,0,10+,1-5,0,0,10+,0,0,0,10+,0,10+,0,10+,0,10+,0,5-10,0,0,0,1-5,0,1-5,0,1-5,0,5-10,0,5-10,0,5-10,0,5-10,0,10+,0,10+,0,10+,0,0,10+,10+,0
8,8_36,5-10,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,1-5,0,0,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,10+,1-5,0,0,5-10,0,0,0,5-10,0,1-5,0,10+,0,10+,0,0,0,0,0,1-5,0,10+,0,10+,0,10+,0,0,10+,5-10,0
8,8_20,1-5,0,0,0,0,0,0,1-5,0,0,1-5,0,0,0,10+,0,1-5,0,0,0,1-5,0,0,0,1-5,1-5,0,0,1-5,0,0,0,1-5,0,0,0,0,0,1-5,1-5,10+,0,1-5,0,1-5,1-5,5-10,0,10+,0,1-5,0,0,0,0,0,0,10+,0,0
8,8_5,0,0,0,0,0,0,10+,0,0,1-5,10+,0,0,0,10+,0,0,1-5,0,0,0,1-5,0,0,0,0,0,0,1-5,0,1-5,0,0,0,0,0,1-5,0,0,0,0,0,0,0,10+,0,10+,0,10+,0,0,,0,0,10+,0,0,0,0,0
9,9_7,0,0,5-10,0,0,1-5,0,0,0,0,1-5,0,0,0,1-5,0,5-10,0,0,0,0,,10+,0,1-5,0,0,1-5,0,0,5-10,0,0,0,1-5,0,0,1-5,0,0,0,0,10+,0,1-5,0,0,0,1-5,0,0,0,10+,0,5-10,0,0,5-10,0,5-10
9,9_21,0,1-5,0,0,1-5,0,0,1-5,0,1-5,0,0,0,0,5-10,0,1-5,0,0,0,0,0,10+,1-5,1-5,0,5-10,0,1-5,0,0,0,1-5,0,1-5,0,1-5,1-5,1-5,0,5-10,0,1-5,0,1-5,0,0,0,5-10,0,0,0,10+,0,10+,0,0,5-10,10+,0
9,9_35,0,0,10+,0,0,0,10+,0,0,0,10+,0,0,0,5-10,0,5-10,0,0,0,1-5,0,10+,0,1-5,0,5-10,0,1-5,0,5-10,0,1-5,0,0,0,0,0,10+,0,10+,0,10+,0,10+,0,10+,0,5-10,0,0,0,10+,0,5-10,0,0,10+,5-10,0
9,9_50,0,0,10+,0,0,0,10+,0,0,0,5-10,0,0,0,5-10,1-5,1-5,1-5,0,0,5-10,0,0,0,1-5,0,0,0,5-10,0,5-10,0,5-10,0,5-10,0,0,0,10+,0,10+,0,10+,0,5-10,0,10+,0,10+,0,5-10,0,5-10,0,5-10,0,0,5-10,5-10,0
9,9_64,0,0,5-10,0,0,0,1-5,1-5,5-10,1-5,0,1-5,5-10,0,1-5,1-5,1-5,0,0,0,0,0,1-5,0,0,0,1-5,0,1-5,0,0,0,0,0,0,0,0,1-5,0,0,0,0,5-10,0,1-5,0,5-10,0,5-10,0,1-5,0,10+,0,1-5,0,0,1-5,0,0
12,12_65,0,0,0,0,1-5,0,0,0,1-5,1-5,0,0,0,0,0,0,1-5,0,0,0,0,0,1-5,1-5,0,0,5-10,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,5-10,0,1-5,0,1-5,0,0,0,1-5,0,0,0,5-10,0,0,0,0,0
12,12_50,0,0,0,0,1-5,0,10+,5-10,1-5,1-5,1-5,0,1-5,0,5-10,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,10+,0,10+,0,5-10,0,1-5,0,0,0,0,0,0,0,0,0
12,12_35,0,1-5,0,1-5,0,0,0,0,0,0,0,0,0,0,1-5,0,1-5,0,0,0,1-5,1-5,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,5-10,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0
12,12_15,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,1-5,1-5,1-5,0,1-5,0,0,0,1-5,0,0,0,0,0,0,0,1-5,0,0,0,1-5,0,10+,1-5,10+,0,0,0,0,0,0,0,5-10,0,1-5,0,0,0,0,0,0,0,1-5,0
